title,authors,rating,tags,publisher,pubdate,languages,comments,isbn,identifiers,uuid
"Dune Messiah","Frank Herbert","","Fiction, Science Fiction, Action & Adventure, Fantasy, Epic, Space Opera","Penguin","2008-02-05T00:00:00-04:00","eng","Book Two in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All TimeDune Messiah continues the story of Paul Atreides, better known—and feared—as the man christened Muad’Dib. As Emperor of the known universe, he possesses more power than a single man was ever meant to wield. Worshipped as a religious icon by the fanatical Fremen, Paul faces the enmity of the political houses he displaced when he assumed the throne—and a conspiracy conducted within his own sphere of influence. 
And even as House Atreides begins to crumble around him from the machinations of his enemies, the true threat to Paul comes to his lover, Chani, and the unborn heir to his family’s dynasty...
","9781101157879","google:AXVUqdzi3rsC,isbn:9781101157879","6f6b999f-7e8a-4a3a-8f9d-4f88c8db8ebe"
"The Giver","Lois Lowry","","Science Fiction, Fiction","Collins","2003-04-15T00:00:00-04:00","eng","It is the future. There is no war, no hunger, no pain. No one in the community wants for anything. Everything needed is provided. And at twelve years old, each member of the community has their profession carefully chosen for them by the Committee of Elders. Twelve-year old Jonas has never thought there was anything wrong with his world. But from the moment he is selected as the Receiver of Memory, Jonas discovers that their community is not as perfect as it seems. It is only with the help of the Giver, that Jonas can find what has been lost. And it is only through his personal courage that Jonas finds the strength to do what is right ...
","9780007141425","isbn:9780007141425,google:KtGDPwAACAAJ","21ae3eef-261d-4b82-8b7f-dc2342fc3566"
"Eragon","Christopher Paolini","","Magic, Young Adult Fiction, Juvenile Fiction, Fantasy & Magic, Action & Adventure, Animals, Dragons; Unicorns & Mythical, Fantasy","Corgi Books","2005-04-15T00:00:00-04:00","eng","When Eragon finds a polished stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy
","9780552553209","isbn:9780552553209,google:Hb-yqZYzsiIC","46e67cfd-70c9-4af6-a6a3-a4d403fd827b"
"Eldest","Christopher Paolini","","Magic, Young Adult Fiction, Juvenile Fiction, Fantasy & Magic, Action & Adventure, Animals, Dragons; Unicorns & Mythical, Fantasy","Random House Children's Books","2006-04-15T00:00:00-04:00","eng","This deluxe edition of the runaway international bestseller includes:·A sneak peek at Book III·An exclusive, full-color foldout poster of Glaedr by award-winning artist John Jude Palencar·A revealing excerpt of the history of Alagaësia ·Never-before-seen art by the author, including an image of Brom's elf ring·A complete and comprehensive list of people, places, things, and dwarf clansDarkness falls. . . . Swords clash. . . . Evil reigns. 
Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix, cruel ruler of the Empire. Now Eragon must travel to Ellesméra, land of the elves, for further training in magic and swordsmanship, the vital skills of the Dragon Rider. It is the journey of a lifetime, filled with awe-inspiring new places and people, each day a fresh adventure. But chaos and betrayal plague him at every turn, and Eragon isn't sure whom he can trust. 
Meanwhile, his cousin Roran must fight a new battle back home in Carvahall–one that puts Eragon in even graver danger. 
Will the king's dark hand strangle all resistance? Eragon may not escape with even his life. . . .From the Hardcover edition.
","9780375940606","isbn:9780375940606,google:NzQSAAAACAAJ","f61197d9-87c0-411b-927f-1627da69df5b"
"Brisingr: Book Three","Christopher Paolini","","Magic, Young Adult Fiction, Juvenile Fiction, Fantasy & Magic, Action & Adventure, Animals, Dragons; Unicorns & Mythical, Fantasy","Penguin Random House Children's UK","2008-09-20T00:00:00-04:00","eng","Master storyteller and internationally bestselling author Christopher Paolini returns to the World of Eragon with Murtagh. Murtagh, a stunning epic fantasy set a year after the events of the Inheritance Cycle, will publish in 2023.The third book in The Inheritance CycleMore awaits Eragon and Saphira following the colossal battle against the Empire's warriors. 
He's bound by promises he may not be able to keep, including his oath to his cousin Roran to rescue his beloved Katrina. 
When unrest claims the rebels and danger strikes, Eragon must make choices that take him across the Empire and beyond. Choices that may lead to unimagined sacrifice. 
Conflict, action, adventure and one devastating death await readers as Eragon battles on behalf of the Varden while Galbatorix ruthlessly attempts to crush and twist him to his own purposes. 
Can he become a leader who can unite the rebel forces and defeat the King?
","9781407044774","isbn:9781407044774,google:9m6hsGQ0US8C","24da6591-2a3c-4967-8205-3a2b2ad68818"
"Inheritance","Christopher Paolini","","Magic, Young Adult Fiction, Juvenile Fiction, Fantasy & Magic, Action & Adventure, Animals, Dragons; Unicorns & Mythical, Fantasy","Corgi Books","2012-04-15T00:00:00-04:00","eng","It began with Eragon . . . It ends with Inheritance. Not so very long ago, Eragon - Shadeslayer, Dragon Rider - was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now, the fate of an entire civilization rests on their shoulders. Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chances. The Rider and his dragon have come farther than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost? Featuring spectacular artwork by cult artist John Jude Palencar, this stunning book brings the bestselling Inheritance cycle to a breathtaking conclusion.
","9780552560252","isbn:9780552560252,google:O5CWfd8DploC","3d5a5d24-8e5e-410e-ba32-fe798965965c"
"Harry Potter and the Sorcerer's Stone","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100486","isbn:9781781100486,google:wrOQLV6xB-wC","c6fd4207-b920-437a-98e2-df8a6f960036"
"Harry Potter and the Chamber of Secrets","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","'There is a plot, Harry Potter. A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year.'Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true. 
Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100509","google:5iTebBW-w7QC,isbn:9781781100509","24642497-122a-47d6-9f67-b350c73d70f8"
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.'When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss...Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100516","google:Sm5AKLXKxHgC,isbn:9781781100516","e10e7baf-a416-4003-ac26-65b2dd2a3ca2"
"Harry Potter and the Goblet of Fire","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways ... their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'The Triwizard Tournament is to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter - but that doesn't stop Harry dreaming that he will win the competition. Then at Hallowe'en, when the Goblet of Fire makes its selection, Harry is amazed to find his name is one of those that the magical cup picks out. He will face death-defying tasks, dragons and Dark wizards, but with the help of his best friends, Ron and Hermione, he might just make it through - alive!Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100523","google:etukl7GfrxQC,isbn:9781781100523","979e4e4b-5b27-4174-b47f-3aa6e647e79f"
"Harry Potter and the Order of the Phoenix","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time...Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100530","isbn:9781781100530,google:zpvysRGsBlwC","58903401-fd18-4b40-9fae-08ca231fa31a"
"Harry Potter and the Half-Blood Prince","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building... wherever they had murdered...When Dumbledore arrives at Privet Drive one summer night to collect Harry Potter, his wand hand is blackened and shrivelled, but he does not reveal why. Secrets and suspicion are spreading through the wizarding world, and Hogwarts itself is not safe. Harry is convinced that Malfoy bears the Dark Mark: there is a Death Eater amongst them. Harry will need powerful magic and true friends as he explores Voldemort's darkest secrets, and Dumbledore prepares him to face his destiny...Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781100547","google:R7YsowJI9-IC,isbn:9781781100547","0ae6bda8-dde7-47c4-83f7-ab389621c5a6"
"Harry Potter and the Deathly Hallows","J. K. Rowling","","Juvenile Fiction, Action & Adventure, Fantasy & Magic, Young Adult Fiction, Fantasy, Wizards & Witches, Fiction, Magic","Pottermore Publishing","2015-12-08T00:00:00-04:00","eng","'Give me Harry Potter,' said Voldemort's voice, 'and none shall be harmed. Give me Harry Potter, and I shall leave the school untouched. Give me Harry Potter, and you will be rewarded.'As he climbs into the sidecar of Hagrid's motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind. The protective charm that has kept Harry safe until now is broken, but he cannot keep hiding. The Dark Lord is breathing fear into everything Harry loves and to stop him Harry will have to find and destroy the remaining Horcruxes. The final battle must begin - Harry must stand and face his enemy...Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.
","9781781102435","isbn:9781781102435,google:_oaAHiFOZmgC","ae7bf61c-cf26-48b6-bc9a-c4df0cace74b"
"Harry Potter and History","Nancy R. Reagin","","Literary Criticism, Young Adult Literature, Fantasy, Magic, History & Criticism, Fantasy & Magic, Wizards & Witches, Juvenile Fiction","Turner Publishing Company","2011-04-18T00:00:00-04:00","eng","A guide to the history behind the world of Harry Potter--just in time for the last Harry Potter movie, Harry Potter and the Deathly Hallows (Part II)Harry Potter lives in a world that is both magical and historical. Hogwarts pupils ride an old-fashioned steam train to school, notes are taken on parchment with quill pens, and Muggle legends come to life in the form of werewolves, witches, and magical spells. This book is the first to explore the real history in which Harry's world is rooted. 
Did you know that bezoars and mandrakes were fashionable luxury items for centuries? Find out how Europeans first developed the potions, spells, and charms taught at Hogwarts, from Avada Kedavra to love charms. Learn how the European prosecution of witches led to the Statute of Secrecy, meet the real Nicholas Flamel, see how the Malfoys stack up against Muggle English aristocrats, and compare the history of the wizarding world to real-life history. 
Gives you the historical backdrop to Harry Potter's worldCovers topics ranging from how real British boarding schools compare to Hogwarts to how parchment, quills, and scrolls used in the wizarding world were madeIncludes a timeline comparing the history of the wizarding world to Muggle ""real"" historyFilled with fascinating facts and background, Harry Potter and History is an essential companion for every Harry Potter fan.
","9781118003268","google:7n_uEAAAQBAJ,isbn:9781118003268","8444ca5f-31f3-4981-a24b-a1c9203c6634"
"The Tales of Beedle the Bard - Illustrated Edition: A Magical Companion to the Harry Potter Stories","J. K. Rowling","","Juvenile Fiction, Fairy Tales & Folklore, Fantasy & Magic, Folklore & Mythology, Young Adult Fiction, Fantasy, Wizards & Witches","Bloomsbury Publishing Plc","2022-03-31T00:00:00-04:00","eng","An essential companion to the Harry Potter books, The Tales of Beedle the Bard is a collection of fairytales from the wizarding world, via the enchanted pen of J.K. Rowling. Rich with allusions and symbols from the Harry Potter stories, and enhanced with fascinating commentary from beloved sage Professor Albus Dumbledore, this is a Hogwarts Library book to treasure and enjoy for years to come. All of the gorgeous, grim and gothic detail of the Bard's five bewitching tales has been brought to life by Chris Riddell, thrice winner of the Kate Greenaway Medal. Much loved by generations of witches and wizards, and translated from the original runes by Hermione Granger, this beautiful edition is the perfect gift for Harry Potter fans. Mischievous and witty, Beedle the Bard's stories are a deeply satisfying read in the tradition of all great fables and fairytales. Kindnesses are rewarded and selfishness shown to be the ruin of many a wizard. Burping cauldrons, hairy hearts and cackling stumps are met along the way. Each tale is brought vividly to life with Riddell's trademark wry humour and elegance, including 'The Tale of the Three Brothers', familiar to readers of Harry Potter from the crucial role it plays in Harry Potter and the Deathly Hallows. Now available in a paperback format featuring a brand new cover by Chris Riddell, this edition contains all of the mesmerising illustrations from the original hardback plus an exclusive additional art print of Harry, Ron and Hermione for readers to take out and keep. Prepare to be spellbound! The Tales of Beedle the Bard is published in aid of Lumos, an international children's charity founded in 2005 by J.K. Rowling.
","9781526637895","isbn:9781526637895,google:10hUzgEACAAJ","2b432d57-05f5-4e84-bec7-85e14f141f7e"
"The Chronicles of Narnia: The Magician's Nephew","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","HarperCollins","1994-07-01T00:00:00-04:00","eng","Collection includes all seven of the novels in the series.
","9780064471190","google:DobMtwEACAAJ,isbn:9780064471190","5c59f898-d040-4d5b-8558-9ed5937a3091"
"The Lion, the Witch and the Wardrobe: The Chronicles of Narnia","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","CreateSpace Independent Publishing Platform","2015-10-02T00:00:00-04:00","eng","Novel for children. The four Pevensie children are living in a large house in the country, a house with many rooms, which are filled with many things. But one of the rooms is absolutely empty, except for a single piece of furniture: a large wardrobe. It is a wardrobe, the children discover, which has magical properties.
","9781517623388","google:6I5tjgEACAAJ,isbn:9781517623388","e9f4758e-5579-41d4-91de-19f279d864f9"
"The Horse and His Boy: The Chronicles of Narnia","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","Harper Collins","2009-10-06T00:00:00-04:00","eng","Illustrations in this ebook appear in vibrant full color on a full-color ebook device and in rich black and white on all other devices. 
Narnia . . . where horses talk . . . where treachery is brewing . . . where destiny awaits. 
On a desperate journey, two runaways meet and join forces. Though they are only looking to escape their harsh and narrow lives, they soon find themselves at the center of a terrible battle. It is a battle that will decide their fate and the fate of Narnia itself. 
The Horse and His Boy is the third book in C. S. Lewis's The Chronicles of Narnia, a series that has become part of the canon of classic literature, drawing readers of all ages into a magical land with unforgettable characters for over sixty years. This is a novel that stands on its own, but if you would like to return to Narnia, read Prince Caspian, the fourth book in The Chronicles of Narnia.
","9780061974137","google:7RGQjnd620gC,isbn:9780061974137","d8467647-1807-4ec7-af23-3b0e412b57ba"
"The Chronicles of Narnia: Prince Caspian","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","HarperCollins","1994-07-01T00:00:00-04:00","eng","Collection includes all seven of the novels in the series.
","9780064471190","isbn:9780064471190,google:E2LAuQEACAAJ","be7d7a1d-3890-44a2-9043-ab9d338ea1b3"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","HarperCollins","1994-07-01T00:00:00-04:00","eng","Collection includes all seven of the novels in the series.
","9780064471190","google:vkNSvQEACAAJ,isbn:9780064471190","3651413f-2e72-4ea3-af54-7722f6f44780"
"The Chronicles of Narnia: The Silver Chair","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","HarperCollins","1994-07-01T00:00:00-04:00","eng","Collection includes all seven of the novels in the series.
","9780064471190","isbn:9780064471190,google:UwDftwEACAAJ","e5ee5223-b303-4f5c-864e-08c910a29f56"
"The Last Battle: The Chronicles of Narnia","C. S. Lewis","","Young Adult Fiction, Juvenile Fiction, Classics, Fantasy, Fantasy & Magic, Action & Adventure, Animals","Harper Collins","2009-10-06T00:00:00-04:00","eng","Illustrations in this ebook appear in vibrant full color on a full-color ebook device and in rich black and white on all other devices. 
Narnia . . . where lies breed fear . . . where loyalty is tested . . . where all hope seems lost. 
During the last days of Narnia, the land faces its fiercest challenge—not an invader from without but an enemy from within. Lies and treachery have taken root, and only the king and a small band of loyal followers can prevent the destruction of all they hold dear in this, the magnificent ending to The Chronicles of Narnia. 
The Last Battle is the seventh and final book in C. S. Lewis’s The Chronicles of Narnia, a series that has become part of the canon of classic literature, drawing readers of all ages into a magical land with unforgettable characters for over sixty years. A complete stand-alone read, but if you want to relive the adventures and find out how it began, pick up The Magician’s Nephew, the first book in The Chronicles of Narnia.
","9780061974144","isbn:9780061974144,google:64GxhIgd9BYC","35a83559-a112-49e2-99f2-475ee28a1bd2"
"Holidays on Ice","David Sedaris","","Humor, Form, Essays, Fiction, Satire, Topic, Humorous, Black Humor, Holidays, Family & Relationships, Women","Little, Brown","2009-05-04T00:00:00-04:00","eng","David Sedaris's beloved holiday collection is new again with six more pieces, including a never before published story. Along with such favoritesas the diaries of a Macy's elf and the annals of two very competitive families, are Sedaris's tales of tardy trick-or-treaters (""Us and Them""); the difficulties of explaining the Easter Bunny to the French (""Jesus Shaves""); what to do when you've been locked out in a snowstorm (""Let It Snow""); the puzzling Christmas traditions of other nations (""Six to Eight Black Men""); what Halloween at the medical examiner's looks like (""The Monster Mash""); and a barnyard secret Santa scheme gone awry (""Cow and Turkey""). 
No matter what your favorite holiday, you won't want to miss celebrating it with the author who has been called ""one of the funniest writers alive"" (Economist).
","9780316073639","isbn:9780316073639,google:AmESXDfiId4C","4d0d4094-ab39-4fae-8b57-b08d8305af72"
"Skeleton Crew: Stories","Stephen King","5","Fiction, Horror, Short Stories (Single Author), Thrillers, Suspense, Supernatural","Scribner","2016-12-06T00:00:00-04:00","eng","Includes the story “The Monkey”—now a major motion picture! 
**The #1** New York Times **bestseller—a mesmerizing treasury of short stories by Stephen King.**
An eerie-looking child’s toy harbors an unimaginable evil. A supermarket is unexpectedly the place where humanity makes its last stand against destruction. A trip to the attic becomes a journey to hell. An idyllic lake conceals a bottomless terror. And a desert island is the scene of the most frightening struggle for survival ever waged. 
Featuring the short story “The Monkey” (now a major motion picture) and the novella “The Mist,” which was both a feature film and television series, as well as many other haunting now classic tales, this magnificent collection is enduring and irresistible proof that Stephen King is a true master of the short story form. 
Table of Contents:  
“The Mist”   
“Here There Be Tygers”  
“The Monkey”  
“Cain Rose Up”  
“Mrs. Todd’s Shortcut”  
“The Jaunt”  
“The Wedding Gig”  
“Paranoid: A Chant”  
“The Raft”  
“Word Processor of the Gods”  
“The Man Who Would Not Shake Hands”  
“Beachworld”  
“The Reaper’s Image”  
“Nona”  
“For Owen”  
“Survivor Type”  
“Uncle Otto’s Truck”  
“Morning Deliveries (Milkman #1)”  
“Big Wheels: A Tale of the Laundry Game (Milkman #2)”  
“Gramma”  
“The Ballad of the Flexible Bullet”  
“The Reach”
","9781668207741","google:oNucDQAAQBAJ,isbn:9781668207741,amazon:1668207745","e2c9e4c1-a502-40e1-92aa-161705a3d843"
"The Mystery of the Pale King","Sam Flynn","","Fiction, Fantasy, Mystery, Dark Fantasy, Horror, Thrillers","Amazon Digital Services LLC - Kdp","2024-09-17T00:00:00-04:00","eng","""Tonight, my friends, the performance is real. To you, my most faithful, I dedicate this, the final production of 'The Mystery of the Pale King.'"" As an orphan growing up in a distant border province, Faron took pride in the epic tales of the Hero of Hathur, a great and powerful warrior who ruled in the name of the sun-worshipping Church of the Sol Creator. That pride is shattered by accusations from the Hero's family that he squandered their entire inheritance on the production of a profane play with him at the center: ""The Mystery of the Pale King. 
"" The Church proclaims him under interdict and dispatches Bishop Antonius, his devoted page Faron, and a cadre of soldiers downriver to repossess Hathur on its behalf. The cruelty they witness on their perilous mission forces them to confront the horrors at the heart of Hathur's past and question not just their devotion to the Church but their very beliefs in gods and heroes. Amid a storm of betrayal, murder, and sacrilege, Faron must survive fanatical cultists, their obscene rituals, and the evil hiding in the light in order to save Bishop Antonius from the Hero's final performance. Inspired by the historical legend of Gilles de Rais, The Mystery of the Pale King probes the roots of modern American dysfunction in a grim flintlock fantasy setting that reflects the best and worst of humanity.
","9798988304067","isbn:9798988304067,google:6G3l0AEACAAJ","f5b2e0e9-b5d0-43b9-8d05-d5a4fc0362fb"
"Revival","Stephen King","","Fiction, Horror, Thrillers, Suspense, Performing Arts, Music","Hodder & Stoughton","2015-09-15T00:00:00-04:00","eng","A dark and electrifying novel about addiction, fanaticism, and what might exist on the other side of life. In a small New England town, over half a century ago, a shadow falls over a small boy playing with his toy soldiers. Jamie Morton looks up to see a striking man, the new minister. Charles Jacobs, along with his beautiful wife, will transform the local church. The men and boys are all a bit in love with Mrs. Jacobs; the women and girls feel the same about Reverend Jacobs--including Jamie's mother and beloved sister, Claire. With Jamie, the Reverend shares a deeper bond based on a secret obsession. When tragedy strikes the Jacobs family, this charismatic preacher curses God, mocks all religious belief, and is banished from the shocked town. Jamie has demons of his own. Wed to his guitar from the age of thirteen, he plays in bands across the country, living the nomadic lifestyle of bar-band rock and roll while fleeing from his family's horrific loss. In his mid-thirties--addicted to heroin, stranded, desperate--Jamie meets Charles Jacobs again, with profound consequences for both men. Their bond becomes a pact beyond even the Devil's devising, and Jamie discovers that ""revival"" has many meanings. This rich and disturbing novel spans five decades on its way to the most terrifying conclusion Stephen King has ever written. It's a masterpiece from King, in the great American tradition of Frank Norris, Nathaniel Hawthorne, and Edgar Allan Poe.
","9781444789225","isbn:9781444789225,google:t0RIrgEACAAJ","119bb0dd-c964-4a09-bc40-620385b8ca8f"
"The Chronicles of Vladimir Todd; 3 Tenth Grade Bleeds","Heather Brewer","","Fiction, Juvenile Fiction, Supernatural, Young Adult Fiction","Penguin","2009-04-15T00:00:00-04:00","eng","","","google:uxTO0AEACAAJ","df88053e-1912-4a2d-8d0d-26d75f6cf3ca"
"Lights Out","Navessa Allen","4","Fiction, Romance, Suspense, Romantic Comedy, Humorous, Black Humor, Thrillers","Quercus","2024-08-06T00:00:00-04:00","eng","MEET BOOKTOK'S LATEST OBSESSION . . . DARK, FUNNY AND SUPER SPICY, CAN YOU HANDLE THE RIDE? 
I want someone with a soul as black as night. Someone who would burn the world down for me and not lose a single minute of sleep over it. 
Trauma nurse Aly escapes her hard-working days by thirsting after masked men online. To her, nothing could top the fantasy of her favorite tattooed and masked man hunting her down. But she never could have guessed that one drunken text would turn those dreams into reality . . . 
I want things most people don't, craving darkness and depravity instead of light and love. 
Josh has spent his life avoiding the limelight, but his online persona is another story. At night, he posts masked thirst traps for his millions of fans, until one follower catches his eye: Aly. 
Together, Aly and Josh live out their darkest fantasies, unaware that Aly has captured the attention of someone with far more sinister intentions. As Josh turns from predator to protector, he must ask himself how far he'll go for the woman he can't live without. 
Lights Out **is a fast-paced dark romance with a morally grey male lead. Some themes and scenes may be disturbing to readers. Please check the content warning at the beginning of the book.**
**18+ mature content. Not suitable for younger readers. 
**
#### Readers LOVE the New York Times bestselling Lights Out!
' **Hilarious** , and **wickedly sexy**. Yes Josh is a bit of a stalker, but he's a golden retriever one' ⭐⭐⭐⭐⭐ 
'I **absolutely adored** this book . . . **perfect** in every single way!' ⭐⭐⭐⭐⭐ 
'Josh and Aly are both **magnificent** and **the spice is next level** ' ⭐⭐⭐⭐⭐ 
' **Really fun** , made me laugh so many times I lost count' ⭐⭐⭐⭐⭐ 
'Quite literally **perfect**. I wanted something **spicy but fun** and it **more than delivered**!' ⭐⭐⭐⭐⭐ 
'Proving that a dark romance can still have humour . . . dark of course!!!' ⭐⭐⭐⭐⭐ 
' **PERFECTION**!' ⭐⭐⭐⭐⭐ 
*Lights Out,* *New York Times* bestseller, November 2024.
","9781529442410","amazon:B0D4JHV59S,isbn:9781529442410,google:FvYIEQAAQBAJ","bd920c24-2055-49cf-92cf-73ee556c8279"
"Nightmares & Dreamscapes","Stephen King","","Fiction, Horror, Media Tie-In, Short Stories (Single Author), Thrillers, Suspense","Simon and Schuster","2017-10-31T00:00:00-04:00","eng","Includes the story “It Grows on You”—set in the fictional town of Castle Rock, Maine The classic short story collection from #1 New York Times bestselling author Stephen King. 
A wrong turn on a lonely road lands a wayward couple in Rock and Roll Heaven, Oregon, where there’s no escaping the free nightly concert….A novelty toy becomes an unexpected and terrifying instrument of self-defense….An ex-con pieces together a map to unearth a stolen million dollars—but at what price?...A private investigator in Depression-era Los Angeles is finding his life unraveling as he discovers the shocking truth of who he really is….A third-grade teacher is willing to dig deep in order to exact revenge for his murdered wife.... These are just some of the haunting scenarios to be found in this classic collection—spellbinding tales from the darkest places and the unparalleled imagination of fiction’s master storyteller. Stories include: -Dolan's Cadillac -The End of the Whole Mess -Suffer the Little Children -The Night Flier -Popsy -It Grows on You -Chattery Teeth -Dedication -The Moving Finger -Sneakers -You Know They Got a Hell of a Band -Home Delivery -Rainy Season -My Pretty Pony -Sorry, Right Number -The Ten O'Clock People -Crouch End -The House on Maple Street -The Fifth Quarter -The Doctor's Case -Umney's Last Case -Head Down -Brooklyn August
","9781501192036","google:UUM7DwAAQBAJ,isbn:9781501192036","195b94cc-48f8-45f9-912a-2cae17559272"
"Berserk Volume 1 Deluxe Edition","Kentaro Miura","","Comics & Graphic Novels, Manga, Illustrated, Horror","Dark Horse Comics","2017-07-18T00:00:00-04:00","eng","FOR MATURE READERS.
","9781506704159","isbn:9781506704159,google:PQQtDwAAQBAJ","dff1c5a5-6b3a-4342-8053-1e9c76df56e1"
